tag_id,tag_name
39,poetry
42,psychology
61,fiction
61,nonfiction
70,graphic novels
89,cookbooks
91,comics
98,fantasy
100,fiction
115,fiction
119,fantasy
123,fiction
124,fantasy
127,fiction
129,fiction
130,fiction
130,nonfiction
136,art
145,art
155,fiction
165,manga
182,crime
194,business
212,fiction
225,art
228,art
259,childrens
260,comics
412,mystery
508,philosophy
515,classics
518,fiction
520,history
528,art
531,fiction
551,art
565,business
571,fiction
594,religion
676,art
677,art
679,art
680,art
725,art
786,comics
786,manga
810,comics
862,comics
864,fiction
873,manga
907,horror
908,horror
909,horror
927,fiction
928,classics
930,fiction
931,history
943,fiction
950,fantasy
963,fiction
971,art
979,graphic novels
990,fiction
1000,mystery
1000,thriller
1001,poetry
1002,fiction
1006,sports
1023,science
1025,art
1046,art
1052,art
1065,art
1067,graphic novels
1109,art
1115,cookbooks
1118,poetry
1122,comics
1124,fiction
1130,thriller
1139,fantasy
1159,fiction
1180,fiction
1180,nonfiction
1183,fiction
1183,travel
1211,art
1214,fiction
1214,nonfiction
1218,thriller
1237,poetry
1256,history
1270,art
1272,comics
1277,fiction
1285,poetry
1293,fiction
1315,fantasy
1318,fiction
1345,fiction
1360,art
1382,thriller
1386,art
1387,art
1399,fiction
1401,fiction
1404,romance
1445,mystery
1461,psychology
1470,art
1476,mystery
1476,thriller
1512,fiction
1517,fiction
1543,thriller
1545,suspense
1546,fiction
1547,manga
1548,mystery
1551,romance
1552,suspense
1553,suspense
1553,thriller
1554,thriller
1555,thriller
1556,mystery
1556,thriller
1557,thriller
1643,fiction
1644,biography
1644,history
1647,chick lit
1648,christian
1648,fiction
1649,contemporary
1650,contemporary
1650,romance
1654,fantasy
1659,fiction
1660,fiction
1660,historical fiction
1661,mystery
1666,mystery
1668,fiction
1669,fiction
1669,nonfiction
1671,paranormal
1672,paranormal
1672,romance
1679,romance
1680,fiction
1680,science
1680,science fiction
1682,suspense
1685,fiction
1696,fiction
1697,mystery
1699,fiction
1700,fantasy
1701,fiction
1701,nonfiction
1703,spirituality
1704,sports
1707,suspense
1708,thriller
1709,travel
1715,art
1747,fiction
1748,fiction
1749,travel
1756,classics
1758,fiction
1759,history
1763,memoir
1764,romance
1771,fiction
1772,history
1780,fiction
1794,young adult
1880,art
2041,art
2050,fantasy
2050,fiction
2075,ebooks
2076,fiction
2083,fiction
2085,christian
2085,fiction
2094,art
2103,fiction
2126,art
2155,art
2166,history
2173,history
2183,fantasy
2186,history
2264,art
2270,history
2280,art
2287,classics
2288,comics
2289,contemporary
2290,crime
2294,fiction
2304,fiction
2304,historical fiction
2305,history
2319,poetry
2348,fiction
2382,art
2383,art
2408,philosophy
2409,philosophy
2425,classics
2433,philosophy
2434,fiction
2434,historical fiction
2435,history
2441,mystery
2444,philosophy
2453,philosophy
2506,art
2542,romance
2552,classics
2554,fantasy
2556,fiction
2561,mystery
2563,fiction
2564,fiction
2564,nonfiction
2595,manga
2617,art
2692,art
2717,religion
2762,art
2773,fiction
2820,fantasy
2832,contemporary
2833,fiction
2836,fiction
2841,poetry
2856,fiction
2857,thriller
2870,history
2882,art
2912,travel
2934,art
2938,art
2939,art
2940,art
2941,art
2942,art
2943,art
2944,art
2945,art
2946,art
2947,art
2947,history
2948,art
2949,art
2950,art
2951,art
2952,art
2953,art
2954,art
2955,art
2956,art
2957,art
2957,history
2958,art
2959,art
2960,art
2960,music
2961,art
2962,art
2962,ebooks
2963,art
2964,art
2965,art
2966,art
2967,art
2968,art
2969,art
2970,art
2970,history
2971,art
2971,history
2972,art
2972,history
2973,art
2973,history
2974,art
2974,history
2975,art
2975,history
2976,art
2977,art
2978,art
2978,music
2979,art
2979,biography
2980,art
2981,art
2982,art
2983,art
2984,art
2985,art
2986,art
2986,business
2987,art
2988,art
2989,art
2990,art
2990,comics
2991,art
2991,comics
2991,manga
2992,art
2993,art
2994,art
2995,art
2996,art
2996,crime
2997,art
2998,art
2999,art
3000,art
3001,art
3002,art
3003,art
3004,art
3005,art
3006,art
3007,art
3008,art
3009,art
3009,comics
3010,art
3011,art
3012,art
3013,art
3014,art
3015,art
3016,art
3016,fiction
3017,art
3018,art
3019,art
3020,art
3021,art
3022,art
3023,art
3024,art
3025,art
3026,art
3026,fiction
3026,historical fiction
3027,art
3027,history
3028,art
3028,history
3029,art
3029,history
3030,art
3030,history
3031,art
3031,history
3032,art
3032,history
3033,art
3033,fiction
3033,history
3034,art
3034,history
3035,art
3035,history
3036,art
3036,history
3037,art
3037,history
3037,thriller
3038,art
3038,history
3039,art
3040,art
3041,art
3041,fiction
3042,art
3043,art
3044,art
3045,art
3046,art
3047,art
3048,art
3049,art
3050,art
3051,art
3052,art
3053,art
3054,art
3055,art
3056,art
3057,art
3058,art
3058,history
3059,art
3059,music
3060,art
3060,music
3061,art
3061,music
3062,art
3062,music
3063,art
3063,music
3064,art
3064,fiction
3065,art
3065,fiction
3065,nonfiction
3066,art
3067,art
3068,art
3069,art
3070,art
3071,art
3072,art
3073,art
3074,art
3075,art
3076,art
3077,art
3078,art
3079,art
3080,art
3081,art
3082,art
3083,art
3084,art
3085,art
3086,art
3086,fiction
3087,art
3088,art
3089,art
3090,art
3091,art
3092,art
3093,art
3094,art
3095,art
3096,art
3097,art
3098,art
3099,art
3100,art
3101,art
3102,art
3103,art
3104,art
3105,art
3105,fiction
3106,art
3107,art
3108,art
3109,art
3110,art
3111,art
3112,art
3113,art
3114,art
3115,art
3116,art
3116,history
3117,art
3118,art
3119,art
3120,art
3121,art
3122,art
3123,art
3124,art
3125,art
3126,art
3127,art
3128,art
3129,art
3130,art
3131,art
3132,art
3133,art
3134,art
3135,art
3136,art
3137,art
3138,art
3139,art
3140,art
3141,art
3141,fiction
3142,art
3143,art
3144,art
3145,art
3146,art
3147,art
3148,art
3149,art
3150,art
3151,art
3152,art
3153,art
3154,art
3155,art
3156,art
3157,art
3158,art
3159,art
3160,art
3161,art
3162,art
3163,art
3164,art
3165,art
3166,art
3167,art
3167,history
3168,art
3169,art
3170,art
3171,art
3172,art
3173,art
3174,art
3175,art
3176,art
3177,art
3177,music
3178,art
3179,art
3180,art
3181,art
3182,art
3183,art
3184,art
3185,art
3186,art
3187,art
3188,art
3189,art
3190,art
3221,fiction
3227,fantasy
3228,fiction
3229,fiction
3229,historical fiction
3230,history
3243,art
3310,religion
3312,philosophy
3313,religion
3412,fiction
3435,mystery
3442,fiction
3447,fiction
3469,classics
3470,contemporary
3470,fiction
3471,fiction
3472,fiction
3473,fiction
3473,historical fiction
3489,christian
3536,art
3590,biography
3593,memoir
3595,memoir
3596,biography
3597,biography
3598,biography
3598,memoir
3603,memoir
3606,fiction
3611,biography
3612,biography
3613,biography
3613,memoir
3614,biography
3615,biography
3615,memoir
3616,biography
3616,memoir
3617,biography
3617,memoir
3618,biography
3618,memoir
3619,fiction
3651,art
3660,history
3690,manga
3723,classics
3724,classics
3726,philosophy
3726,psychology
3726,religion
3729,comics
3819,cookbooks
3930,classics
3933,classics
3934,classics
3948,art
3949,art
3950,art
3951,art
3952,art
3953,art
3960,fiction
3961,history
3992,comics
3994,graphic novels
4045,manga
4046,comics
4047,comics
4048,graphic novels
4049,manga
4058,romance
4131,art
4201,psychology
4202,science
4203,science
4207,psychology
4208,science
4239,art
4310,fantasy
4322,business
4325,christian
4325,fiction
4326,comics
4327,cookbooks
4328,cookbooks
4333,fantasy
4334,fantasy
4335,fantasy
4336,fiction
4342,history
4343,horror
4349,fiction
4366,psychology
4432,fiction
4435,christian
4447,fiction
4448,fiction
4448,historical fiction
4452,spirituality
4488,history
4507,romance
4519,fiction
4519,science
4519,science fiction
4530,art
4531,art
4533,art
4545,romance
4562,memoir
4563,art
4566,memoir
4567,biography
4568,memoir
4569,memoir
4588,fiction
4589,memoir
4596,memoir
4598,memoir
4600,memoir
4601,memoir
4605,biography
4606,biography
4607,biography
4607,memoir
4608,biography
4609,biography
4610,biography
4611,biography
4612,biography
4612,memoir
4613,biography
4614,biography
4614,history
4615,biography
4615,memoir
4616,biography
4616,memoir
4617,biography
4617,memoir
4618,biography
4619,biography
4619,music
4620,biography
4620,memoir
4621,biography
4622,biography
4623,biography
4623,memoir
4624,biography
4635,history
4636,memoir
4637,memoir
4692,chick lit
4705,fiction
4708,history
4709,history
4710,history
4730,art
4733,romance
4738,fiction
4750,philosophy
4756,manga
4824,classics
4826,ebooks
4867,art
4939,art
5004,art
5020,art
5109,music
5133,fantasy
5134,fantasy
5141,art
5301,art
5307,history
5311,art
5502,sports
5617,science
5649,art
5659,classics
5717,art
5718,art
5719,art
5745,chick lit
5756,chick lit
5757,classics
5759,contemporary
5759,fiction
5762,crime
5763,crime
5763,fiction
5765,fiction
5767,fiction
5767,historical fiction
5768,history
5779,mystery
5785,thriller
5805,romance
5872,spirituality
5876,spirituality
5951,business
5952,business
5953,business
5954,business
5955,business
5956,business
5957,business
5958,business
5959,business
5960,business
5961,biography
5961,business
5962,business
5963,business
5964,business
5965,business
5966,business
5967,business
5968,business
5969,business
5970,business
5971,business
5972,business
5973,business
5974,business
5975,business
5976,business
5977,business
5978,business
5979,business
5980,business
5981,business
5982,business
5982,history
5983,business
5984,business
5985,business
5986,business
5987,business
5988,business
5989,business
5990,business
5991,business
5992,business
5993,business
5994,business
5995,business
5996,business
5996,fiction
5997,business
5998,business
5999,business
5999,psychology
6000,business
6001,business
6002,business
6003,business
6004,business
6005,business
6005,self help
6006,business
6007,business
6008,art
6008,business
6009,art
6009,business
6010,business
6011,business
6012,business
6013,business
6014,business
6015,business
6051,comics
6056,art
6056,history
6064,fiction
6064,nonfiction
6065,paranormal
6074,horror
6074,thriller
6187,fiction
6188,history
6192,mystery
6202,memoir
6264,business
6275,fiction
6301,childrens
6339,art
6340,art
6341,art
6342,art
6343,art
6344,art
6345,art
6346,art
6347,art
6348,art
6348,comics
6410,fiction
6411,romance
6412,fiction
6422,thriller
6435,fiction
6483,memoir
6493,memoir
6494,memoir
6495,romance
6505,history
6556,fiction
6628,art
6678,romance
6712,mystery
6750,chick lit
6751,chick lit
6751,crime
6752,chick lit
6753,chick lit
6753,mystery
6754,chick lit
6755,chick lit
6755,romance
6756,chick lit
6757,chick lit
6758,chick lit
6759,chick lit
6762,chick lit
6768,romance
6775,mystery
6811,psychology
6812,psychology
6821,young adult
6834,classics
6849,art
6863,young adult
6871,classics
6873,fantasy
6875,fiction
6880,fiction
6880,nonfiction
6889,young adult
6890,biography
6905,classics
6907,fantasy
6909,fiction
6911,fiction
6911,historical fiction
6924,fiction
6924,nonfiction
